star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0104-02960-1,79.17102222,1.94734278,6.407,2000.0,-11.400,-6.300
TYC 0104-03169-1,79.79678556,2.59593361,5.375,2000.0,-19.900,-52.100
TYC 0105-00304-1,82.20190556,2.16471194,7.127,2000.0,-0.900,-0.900
TYC 0105-01214-1,80.69053250,2.79632694,6.718,2000.0,5.100,-43.700
TYC 0105-01852-1,81.72614917,3.61467417,7.154,2000.0,0.700,-1.800
TYC 0105-02661-1,81.63007722,2.93591861,6.698,2000.0,-7.600,-11.000
TYC 0105-02690-1,81.15041972,2.35316750,6.275,2000.0,1.200,-2.200
TYC 0105-02709-1,82.38969778,3.14793333,7.090,2000.0,-0.600,-0.600
TYC 0105-02779-1,81.81415944,2.34120639,6.461,2000.0,5.800,-0.600
TYC 0105-02799-1,80.71264278,3.55222139,6.756,2000.0,0.400,-0.800
TYC 0105-02800-1,80.70833667,3.54444833,4.951,2000.0,1.000,-0.400
TYC 0105-02801-1,81.70928361,3.09567694,4.574,2000.0,-6.000,-12.900
TYC 0106-00112-1,75.19668778,4.56772528,6.814,2000.0,86.400,-35.500
TYC 0107-01139-1,77.94312389,4.40386611,7.051,2000.0,180.200,-137.900
TYC 0107-01434-1,77.63759194,5.31496028,7.293,2000.0,12.100,-1.800
TYC 0107-03085-1,78.68355111,5.15613056,5.650,2000.0,-4.900,7.500
TYC 0108-00172-1,80.54658778,5.39542806,7.057,2000.0,44.100,-51.300
TYC 0108-01990-1,79.38423917,5.48233417,7.245,2000.0,17.600,-6.700
TYC 0108-02091-1,80.33045028,4.01197833,6.519,2000.0,-2.700,-11.800
TYC 0109-00326-1,80.87950917,5.32304639,6.351,2000.0,-30.900,17.000
TYC 0109-00729-1,81.78459389,3.85554861,6.711,2000.0,-0.600,-1.200
TYC 0109-02431-1,81.84893583,4.26149722,7.499,2000.0,-6.400,9.200
TYC 0109-02637-1,81.68705861,4.08234222,7.124,2000.0,3.700,-12.600
TYC 0110-00319-1,75.63119611,7.42406917,6.977,2000.0,-21.600,-17.200
TYC 0111-01835-1,77.44119222,7.18155472,7.465,2000.0,49.300,13.500
TYC 0112-00182-1,79.42075333,7.35369806,7.401,2000.0,-1.900,-148.500
TYC 0113-00534-1,81.66176972,6.86873611,6.397,2000.0,10.100,-34.600
TYC 0113-00714-1,81.74995667,7.17036306,7.049,2000.0,7.900,-33.900
TYC 0114-01278-1,82.87452694,1.69003556,7.497,2000.0,0.600,0.500
TYC 0114-02260-1,83.15820778,0.01196139,6.352,2000.0,22.600,-10.300
TYC 0114-02363-1,83.48993556,1.40764639,6.541,2000.0,1.200,-0.500
TYC 0115-01423-1,84.47272278,0.96861194,7.450,2000.0,2.100,-2.600
TYC 0115-01457-1,84.90828583,0.83387833,7.044,2000.0,0.600,-14.400
TYC 0115-02182-1,84.95451194,1.49173972,6.871,2000.0,4.900,-2.900
TYC 0115-02291-1,85.27329083,0.33769083,5.949,2000.0,12.100,27.000
TYC 0115-02299-1,85.61942528,1.47466333,5.030,2000.0,-56.200,-15.200
TYC 0116-00732-1,87.06105417,1.60974833,7.116,2000.0,8.700,-14.900
TYC 0116-00983-1,87.19153750,0.72556167,7.202,2000.0,-4.000,-0.100
TYC 0116-01316-1,86.64564556,1.16851500,6.011,2000.0,-79.300,-140.600
TYC 0116-01329-1,88.11017833,1.85515778,4.909,2000.0,-6.100,-7.800
TYC 0117-00201-1,88.68349278,0.96861417,6.129,2000.0,-2.400,0.100
TYC 0117-00550-1,89.55633278,1.85640750,6.941,2000.0,6.600,-7.000
TYC 0117-01091-1,89.47710500,1.22430806,6.381,2000.0,-24.700,2.100
TYC 0117-01240-1,88.98883806,0.83614861,7.180,2000.0,-1.600,1.000
TYC 0117-01338-1,89.60182944,1.83712750,5.915,2000.0,7.800,-6.800
TYC 0117-01471-1,89.70658556,0.55297306,5.202,2000.0,-13.900,2.100
TYC 0117-01543-1,89.35531833,0.02753972,6.947,2000.0,-17.500,-9.900
TYC 0118-02925-1,82.81055028,3.29213389,5.707,2000.0,-0.400,-6.200
TYC 0118-02925-2,82.81078528,3.29260111,6.744,2000.0,-0.400,-6.200
TYC 0119-01868-1,85.57340750,2.36718222,6.655,2000.0,-1.500,-4.000
TYC 0120-00877-1,87.62510500,2.02471528,6.071,2000.0,1.600,-6.400
TYC 0121-00784-1,88.56552222,3.22575972,6.450,2000.0,61.000,-51.000
